NACA64 airfoil with an aspect ratio of 17.  Original -180 to 180deg Cl, Cd, and Cm versus AOA data taken from Appendix A of DOWEC document 10046_009.pdf (numerical values obtained from Koert Lindenburg of ECN).
Re           1E6
aol         -4.000000  # AOL - Zero Cn angle of attack (deg)   
cna          6.011169  # CNA - Cn slope for zero lift (dimensionless) 
cns          1.433910  # CNS - Cn extrapolated to value at positive stall angle of attack
cnsl        -1.090116  # CNSL - Cn at stall value for negative angle of attack
aod         -1.00      # AOD - Angle of attack for minimum CD (deg)
cd0          0.0052    # CDO - Minimum CD value
AL  -180.00 -175.0  -170.0  -160.0  -155.0  -150.0  -145.0  -140.0  -135.0  -130.0  -125.0  -120.0  -115.0  -110.0  -105.0  -100.0  -95.0   -90.0   -85.0   -80.0   -75.0   -70.0   -65.0   -60.0   -55.0   -50.0   -45.0   -40.0   -35.0   -30.0   -25.0   -24.0   -23.0   -22.0   -21.0   -20.0   -19.0   -18.0   -17.0   -16.0   -15.0   -14.0   -13.5   -13.0   -12.0   -11.0   -10.0   -9.0    -8.0    -7.0    -6.0    -5.0    -4.0    -3.0    -2.0    -1.0    0.0     1.0     2.0     3.0     4.0     5.0     6.0     7.0     8.0     8.5     9.0     9.5     10.0    10.5    11.0    11.5    12.0    12.5    13.0    13.5    14.0    14.5    15.0    15.5    16.0    16.5    17.0    17.5    18.0    18.5    19.0    19.5    20.0    21.0    22.0    23.0    24.0    25.0    26.0    28.0    30.0    32.0    35.0    40.0    45.0    50.0    55.0    60.0    65.0    70.0    75.0    80.0    85.0    90.0    95.0    100.0   105.0   110.0   115.0   120.0   125.0   130.0   135.0   140.0   145.0   150.0   155.0   160.0   170.0   175.0   180.0  
CL  0.0000  0.3740  0.7490  0.6590  0.7360  0.7830  0.8030  0.7980  0.7710  0.7240  0.6600  0.5810  0.4910  0.3900  0.2820  0.1690  0.0520  -0.0670 -0.1840 -0.2990 -0.4090 -0.5120 -0.6060 -0.6890 -0.7590 -0.8140 -0.8500 -0.8660 -0.8600 -0.8290 -0.8530 -0.8700 -0.8900 -0.9110 -0.9340 -0.9580 -0.9820 -1.0050 -1.0820 -1.1130 -1.1050 -1.0780 -1.0530 -1.0150 -0.9040 -0.8070 -0.7110 -0.5950 -0.4780 -0.3750 -0.2640 -0.1510 -0.0170 0.0880  0.2130  0.3280  0.4420  0.5560  0.6700  0.7840  0.8980  1.0110  1.1030  1.1810  1.2570  1.2930  1.3260  1.3560  1.3820  1.4000  1.4150  1.4250  1.4340  1.4430  1.4510  1.4530  1.4480  1.4440  1.4450  1.4470  1.4480  1.4440  1.4380  1.4390  1.4480  1.4520  1.4480  1.4380  1.4280  1.4010  1.3590  1.3000  1.2200  1.1680  1.1160  1.0150  0.9260  0.8550  0.8000  0.8040  0.7930  0.7630  0.7170  0.6560  0.5820  0.4950  0.3980  0.2910  0.1760  0.0530  -0.0740 -0.1990 -0.3210 -0.4360 -0.5430 -0.6400 -0.7230 -0.7900 -0.8400 -0.8680 -0.8720 -0.8500 -0.7980 -0.7140 -0.7490 -0.3740 0.0000
CD  0.01980 0.03410 0.09550 0.28070 0.39190 0.50860 0.62670 0.74270 0.85370 0.95740 1.05190 1.13550 1.20700 1.26560 1.31040 1.34100 1.35720 1.35870 1.34560 1.31810 1.27650 1.22120 1.15320 1.07310 0.98220 0.88200 0.77420 0.66100 0.54510 0.42950 0.30710 0.28140 0.25560 0.22970 0.20400 0.17850 0.15340 0.12880 0.10370 0.07860 0.05350 0.02830 0.01580 0.01510 0.01340 0.01210 0.01110 0.00990 0.00910 0.00860 0.00820 0.00790 0.00720 0.00640 0.00540 0.00520 0.00520 0.00520 0.00530 0.00530 0.00540 0.00580 0.00910 0.01130 0.01240 0.01300 0.01360 0.01430 0.01500 0.02670 0.03830 0.04980 0.06130 0.07270 0.08410 0.09540 0.10650 0.11760 0.12870 0.13980 0.15090 0.16190 0.17280 0.18370 0.19470 0.20570 0.21650 0.22720 0.23790 0.25900 0.27990 0.30040 0.32040 0.33770 0.35540 0.39160 0.42940 0.46900 0.53240 0.64520 0.75730 0.86640 0.97080 1.06930 1.16060 1.24380 1.31780 1.38090 1.43040 1.45650 1.45330 1.43450 1.40040 1.35120 1.28740 1.20990 1.11960 1.01790 0.90640 0.78710 0.66270 0.53630 0.41160 0.29310 0.09710 0.03340 0.01980
CM  0.0000  0.1880  0.3770  0.2747  0.3130  0.3428  0.3654  0.3820  0.3935  0.4007  0.4042  0.4047  0.4025  0.3981  0.3918  0.3838  0.3743  0.3636  0.3517  0.3388  0.3248  0.3099  0.2940  0.2772  0.2595  0.2409  0.2212  0.2006  0.1789  0.1563  0.1156  0.1040  0.0916  0.0785  0.0649  0.0508  0.0364  0.0218  0.0129  -0.0028 -0.0251 -0.0419 -0.0521 -0.0610 -0.0707 -0.0722 -0.0734 -0.0772 -0.0807 -0.0825 -0.0832 -0.0841 -0.0869 -0.0912 -0.0946 -0.0971 -0.1014 -0.1076 -0.1126 -0.1157 -0.1199 -0.1240 -0.1234 -0.1184 -0.1163 -0.1163 -0.1160 -0.1154 -0.1149 -0.1145 -0.1143 -0.1147 -0.1158 -0.1165 -0.1153 -0.1131 -0.1112 -0.1101 -0.1103 -0.1109 -0.1114 -0.1111 -0.1097 -0.1079 -0.1080 -0.1090 -0.1086 -0.1077 -0.1099 -0.1169 -0.1190 -0.1235 -0.1393 -0.1440 -0.1486 -0.1577 -0.1668 -0.1759 -0.1897 -0.2126 -0.2344 -0.2553 -0.2751 -0.2939 -0.3117 -0.3285 -0.3444 -0.3593 -0.3731 -0.3858 -0.3973 -0.4075 -0.4162 -0.4231 -0.4280 -0.4306 -0.4304 -0.4270 -0.4196 -0.4077 -0.3903 -0.3665 -0.3349 -0.2942 -0.3771 -0.1879 0.0000 
