NACA64 airfoilwith an aspect ratio of 17.  Original -180 to 180deg Cl, Cd, and Cm versus AOA data taken from Appendix A of DOWEC document 10046_009.pdf (numerical values obtained from Koert Lindenburg of ECN).
Re           9E6
aol          0.0     # AOL - Zero Cn angle of attack (deg)   
cna          0.0     # CNA - Cn slope for zero lift (dimensionless) 
cns          0.0     # CNS - Cn extrapolated to value at positive stall angle of attack
cnsl         0.0     # CNSL - Cn at stall value for negative angle of attack
aod          0.0     # AOD - Angle of attack for minimum CD (deg)
cd0          0.001   # CDO - Minimum CD value
AL  -14.24  -13.24  -12.22  -11.22  -10.19  -9.70   -9.18   -8.18   -7.19   -6.65   -6.13   -6.00   -5.50   -5.00   -4.50   -4.00   -3.50   -3.00   -2.50   -2.00   -1.50   -1.00   -0.50   0.00   0.50     1.00    1.50    2.00    2.50    3.00    3.50    4.00    4.50    5.00    5.50    6.00    6.50    7.00    7.50    8.00    9.00    9.50    10.00   10.50   11.00   11.50   12.00   12.50   13.00   13.50   14.00   14.50   15.00   15.50   16.00   16.50   17.00   17.50   18.00   18.50   19.00
CL  -1.229  -1.148  -1.052  -0.965  -0.867  -0.822  -0.769  -0.756  -0.690  -0.616  -0.542  -0.525  -0.451  -0.382  -0.314  -0.251  -0.189  -0.120  -0.051  0.017   0.085   0.152   0.219   0.288   0.354   0.421   0.487   0.554   0.619   0.685   0.749   0.815   0.879   0.944   1.008   1.072   1.135   1.197   1.256   1.305   1.390   1.424   1.458   1.488   1.512   1.533   1.549   1.558   1.470   1.398   1.354   1.336   1.333   1.326   1.329   1.326   1.321   1.331   1.333   1.340   1.362
CD  0.1461  0.1263  0.1051  0.0886  0.0740  0.0684  0.0605  0.0270  0.0180  0.0166  0.0152  0.0117  0.0105  0.0097  0.0092  0.0091  0.0089  0.0089  0.0088  0.0088  0.0088  0.0088  0.0088  0.0087  0.0087  0.0088  0.0089  0.0090  0.0091  0.0092  0.0093  0.0095  0.0096  0.0097  0.0099  0.0101  0.0103  0.0107  0.0112  0.0125  0.0155  0.0171  0.0192  0.0219  0.0255  0.0307  0.0370  0.0452  0.0630  0.0784  0.0931  0.1081  0.1239  0.1415  0.1592  0.1743  0.1903  0.2044  0.2186  0.2324  0.2455
CM  0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     
