DU35 airfoil with an aspect ratio of 17.  Original -180 to 180deg Cl, Cd, and Cm versus AOA data taken from Appendix A of DOWEC document 10046_009.pdf (numerical values obtained from Koert Lindenburg of ECN).
Re           1E6
aol  -1.8330   Zero Cn angle of attack (deg)
cna   7.1838   Cn slope for zero lift (dimensionless)
cns   1.6717   Cn extrapolated to value at positive stall angle of attack
cnsl  -0.3075   Cn at stall value for negative angle of attack
aod   0.00     Angle of attack for minimum CD (deg)
cd0   0.0094   Minimum CD value
AL  -180.0	-175.0	-170.0	-160.0	-155.0	-150.0	-145.0	-140.0	-135.0	-130.0	-125.0	-120.0	-115.0	-110.0	-105.0	-100.0	-95.0	-90.0	-85.0	-80.0	-75.0	-70.0	-65.0	-60.0	-55.0	-50.0	-45.0	-40.0	-35.0	-30.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-5.5	-5.0	-4.5	-4.0	-3.5	-3.0	-3.0	-2.5	-2.0	-1.5	-1.0	-0.5	0.0	0.5	1.0	1.5	2.0	2.5	3.0	3.5	4.0	4.5	5.0	5.5	6.0	6.5	7.0	7.5	8.0	8.5	9.0	9.5	10.0	10.5	11.0	11.5	12.0	12.5	13.0	13.5	14.0	14.5	15.5	16.0	16.5	17.0	17.5	18.0	19.0	19.5	20.0	21.0	22.0	23.0	24.0	25.0	26.0	28.0	30.0	32.0	35.0	40.0	45.0	50.0	55.0	60.0	65.0	70.0	75.0	80.0	85.0	90.0	95.0	100.0	105.0	110.0	115.0	120.0	125.0	130.0	135.0	140.0	145.0	150.0	155.0	160.0	170.0	175.0	180.0
CL  0.0000	0.2230	0.4050	0.6580	0.7330	0.7780	0.7950	0.7870	0.7570	0.7080	0.6410	0.5600	0.4670	0.3650	0.2550	0.1390	0.0210	-0.0980	-0.2160	-0.3310	-0.4410	-0.5440	-0.6380	-0.7200	-0.7880	-0.8400	-0.8750	-0.8890	-0.8800	-0.8460	-0.7840	-0.7680	-0.7510	-0.7330	-0.7140	-0.6930	-0.6710	-0.6480	-0.6240	-0.6010	-0.5790	-0.5590	-0.5390	-0.5190	-0.4990	-0.4800	-0.3850	-0.3590	-0.3600	-0.3550	-0.3070	-0.2460	-0.2400	-0.1630	-0.0910	-0.0190	0.0520	0.1210	0.1960	0.2650	0.3350	0.4040	0.4720	0.5400	0.6080	0.6740	0.7420	0.8090	0.8750	0.9410	1.0070	1.0710	1.1340	1.1980	1.2600	1.3180	1.3680	1.4220	1.4750	1.5230	1.5700	1.6090	1.6420	1.6750	1.7000	1.7170	1.7120	1.7030	1.6710	1.6490	1.6210	1.5980	1.5710	1.5490	1.5440	1.5490	1.5650	1.5650	1.5630	1.5580	1.5520	1.5460	1.5390	1.5270	1.5220	1.5290	1.5440	1.5290	1.4710	1.3760	1.2490	1.0970	0.9280	0.7500	0.5700	0.3960	0.2370	0.1010	-0.0220	-0.1430	-0.2610	-0.3740	-0.4800	-0.5750	-0.6590	-0.7270	-0.7780	-0.8090	-0.8180	-0.8000	-0.7540	-0.6770	-0.4170	-0.2290	0.0000 
CD  0.0407	0.0507	0.1055	0.2982	0.4121	0.5308	0.6503	0.7672	0.8785	0.9819	1.0756	1.1580	1.2280	1.2847	1.3274	1.3557	1.3692	1.3680	1.3521	1.3218	1.2773	1.2193	1.1486	1.0660	0.9728	0.8705	0.7611	0.6466	0.5299	0.4141	0.3030	0.2817	0.2608	0.2404	0.2205	0.2011	0.1822	0.1640	0.1465	0.1300	0.1145	0.1000	0.0867	0.0744	0.0633	0.0534	0.0245	0.0225	0.0196	0.0174	0.0162	0.0144	0.0240	0.0188	0.0160	0.0137	0.0118	0.0104	0.0094	0.0096	0.0098	0.0099	0.0100	0.0102	0.0103	0.0104	0.0105	0.0107	0.0108	0.0109	0.0110	0.0113	0.0115	0.0117	0.0120	0.0126	0.0133	0.0143	0.0156	0.0174	0.0194	0.0227	0.0269	0.0319	0.0398	0.0488	0.0614	0.0786	0.1173	0.1377	0.1600	0.1814	0.2042	0.2316	0.2719	0.2906	0.3085	0.3447	0.3820	0.4203	0.4593	0.4988	0.5387	0.6187	0.6978	0.7747	0.8869	1.0671	1.2319	1.3747	1.4899	1.5728	1.6202	1.6302	1.6031	1.5423	1.4598	1.4041	1.4053	1.3914	1.3625	1.3188	1.2608	1.1891	1.1046	1.0086	0.9025	0.7883	0.6684	0.5457	0.4236	0.3066	0.1085	0.0510	0.0407
CM  0.0000	0.0937	0.1702	0.2819	0.3213	0.3520	0.3754	0.3926	0.4046	0.4121	0.4160	0.4167	0.4146	0.4104	0.4041	0.3961	0.3867	0.3759	0.3639	0.3508	0.3367	0.3216	0.3054	0.2884	0.2703	0.2512	0.2311	0.2099	0.1876	0.1641	0.1396	0.1345	0.1294	0.1243	0.1191	0.1139	0.1086	0.1032	0.0975	0.0898	0.0799	0.0682	0.0547	0.0397	0.0234	0.0060	-0.0800	-0.0800	-0.0800	-0.0800	-0.0800	-0.0800	-0.0623	-0.0674	-0.0712	-0.0746	-0.0778	-0.0806	-0.0831	-0.0863	-0.0895	-0.0924	-0.0949	-0.0973	-0.0996	-0.1016	-0.1037	-0.1057	-0.1076	-0.1094	-0.1109	-0.1118	-0.1127	-0.1138	-0.1144	-0.1137	-0.1112	-0.1100	-0.1086	-0.1064	-0.1044	-0.1013	-0.0980	-0.0953	-0.0925	-0.0896	-0.0864	-0.0840	-0.0830	-0.0848	-0.0880	-0.0926	-0.0984	-0.1052	-0.1158	-0.1213	-0.1248	-0.1317	-0.1385	-0.1452	-0.1518	-0.1583	-0.1647	-0.1770	-0.1886	-0.1994	-0.2148	-0.2392	-0.2622	-0.2839	-0.3043	-0.3236	-0.3417	-0.3586	-0.3745	-0.3892	-0.4028	-0.4151	-0.4261	-0.4357	-0.4437	-0.4498	-0.4538	-0.4553	-0.4540	-0.4492	-0.4405	-0.4270	-0.4078	-0.3821	-0.3484	-0.3054	-0.1842	-0.1013	0.0000  
