DU40 airfoil with an aspect ratio of 17.  Original -180 to 180deg Cl, Cd, and Cm versus AOA data taken from Appendix A of DOWEC document 10046_009.pdf (numerical values obtained from Koert Lindenburg of ECN).
Re           1E6
aol  -1.3430   Zero Cn angle of attack (deg)
cna   7.4888   Cn slope for zero lift (dimensionless)
cns   1.3519   Cn extrapolated to value at positive stall angle of attack
cnsl  -0.3226   Cn at stall value for negative angle of attack
aod    0.00     Angle of attack for minimum CD (deg)
cd0   0.0113   Minimum CD value
AL  -180.00  -175.0  -170.0  -160.0  -155.0  -150.0  -145.0  -140.0  -135.0 -130.0 -125.0 -120.0 -115.0 -110.0 -105.0 -100.0 -95.0   -90.0   -85.0   -80.0   -75.0   -70.0   -65.0   -60.0   -55.0   -50.0   -45.0   -40.0   -35.0   -30.0   -25.0   -24.0   -23.0   -22.0   -21.0   -20.0   -19.0   -18.0   -17.0   -16.0   -15.0   -14.0   -13.0   -12.0   -11.0   -10.0   -8.0    -6.0    -5.5    -5.0    -4.5    -4.0    -3.5    -3.0    -2.5    -2.0    -1.5    -1.0    -0.5    0.0     0.5     1.0     1.5     2.0     2.5     3.0     3.5     4.0     4.5     5.0     5.5     6.0     6.5     7.0     7.5     8.0     8.5     9.0     9.5     10.0    10.5    11.0    11.5    12.0    12.5    13.0    13.5    14.5    15.0    15.5    16.0    16.5    17.0    17.5    18.0    19.0    19.5    20.5    21.0    22.0    23.0    24.0    25.0    26.0    28.0    30.0    32.0    35.0    40.0    45.0    50.0    55.0    60.0    65.0    70.0    75.0    80.0    85.0    90.0    95.0    100.0   105.0   110.0   115.0   120.0   125.0   130.0   135.0   140.0   145.0   150.0   155.0   160.0   170.0   175.0   180.0 
CL  0.0000  0.2180  0.3970  0.6420  0.7150  0.7570  0.7720  0.7620  0.7310 0.6800 0.6130 0.5320 0.4390 0.3370 0.2280 0.1140 -0.0020 -0.1200 -0.2360 -0.3490 -0.4560 -0.5570 -0.6470 -0.7270 -0.7920 -0.8420 -0.8740 -0.8860 -0.8750 -0.8390 -0.7770 -0.7610 -0.7440 -0.7250 -0.7060 -0.6850 -0.6620 -0.6350 -0.6050 -0.5710 -0.5340 -0.4940 -0.4520 -0.4070 -0.3600 -0.3110 -0.2080 -0.1110 -0.0900 -0.0720 -0.0650 -0.0540 -0.0170 0.0030  0.0140  0.0090  0.0040  0.0360  0.0730  0.1370  0.2130  0.2920  0.3690  0.4440  0.5140  0.5800  0.6450  0.7100  0.7760  0.8410  0.9040  0.9670  1.0270  1.0840  1.1400  1.1930  1.2420  1.2870  1.3330  1.3680  1.4000  1.4250  1.4490  1.4730  1.4940  1.5130  1.5380  1.5870  1.6140  1.6310  1.6490  1.6660  1.6810  1.6990  1.7190  1.7510  1.7670  1.7980  1.8100  1.8300  1.8470  1.8610  1.8720  1.8810  1.8940  1.9040  1.9150  1.9290  1.9030  1.8200  1.6900  1.5220  1.3230  1.1060  0.8800  0.6580  0.4490  0.2670  0.1240  0.0020  -0.1180 -0.2350 -0.3480 -0.4530 -0.5490 -0.6330 -0.7020 -0.7540 -0.7870 -0.7970 -0.7820 -0.7390 -0.6640 -0.4100 -0.2260 0.0000
CD  0.0602  0.0699  0.1107  0.3045  0.4179  0.5355  0.6535  0.7685  0.8777 0.9788 1.0700 1.1499 1.2174 1.2716 1.3118 1.3378 1.3492  1.3460  1.3283  1.2964  1.2507  1.1918  1.1204  1.0376  0.9446  0.8429  0.7345  0.6215  0.5067  0.3932  0.2849  0.2642  0.2440  0.2242  0.2049  0.1861  0.1687  0.1533  0.1398  0.1281  0.1183  0.1101  0.1036  0.0986  0.0951  0.0931  0.0930  0.0689  0.0614  0.0547  0.0480  0.0411  0.0349  0.0299  0.0255  0.0198  0.0164  0.0147  0.0137  0.0113  0.0114  0.0118  0.0122  0.0124  0.0124  0.0123  0.0120  0.0119  0.0122  0.0125  0.0129  0.0135  0.0144  0.0158  0.0174  0.0198  0.0231  0.0275  0.0323  0.0393  0.0475  0.0580  0.0691  0.0816  0.0973  0.1129  0.1288  0.1650  0.1845  0.2052  0.2250  0.2467  0.2684  0.2900  0.3121  0.3554  0.3783  0.4212  0.4415  0.4830  0.5257  0.5694  0.6141  0.6593  0.7513  0.8441  0.9364  1.0722  1.2873  1.4796  1.6401  1.7609  1.8360  1.8614  1.8347  1.7567  1.6334  1.4847  1.3879  1.3912  1.3795  1.3528  1.3114  1.2557  1.1864  1.1041  1.0102  0.9060  0.7935  0.6750  0.5532  0.4318  0.3147  0.1144  0.0702  0.0602
CM  0.0000  0.0934  0.1697  0.2813  0.3208  0.3516  0.3752  0.3926  0.4048 0.4126 0.4166 0.4176 0.4158 0.4117 0.4057 0.3979 0.3887  0.3781  0.3663  0.3534  0.3394  0.3244  0.3084  0.2914  0.2733  0.2543  0.2342  0.2129  0.1906  0.1670  0.1422  0.1371  0.1320  0.1268  0.1215  0.1162  0.1097  0.1012  0.0907  0.0784  0.0646  0.0494  0.0330  0.0156  -0.0026 -0.0213 -0.0600 -0.0500 -0.0516 -0.0532 -0.0538 -0.0544 -0.0554 -0.0558 -0.0555 -0.0534 -0.0442 -0.0469 -0.0522 -0.0573 -0.0644 -0.0718 -0.0783 -0.0835 -0.0866 -0.0887 -0.0900 -0.0914 -0.0933 -0.0947 -0.0957 -0.0967 -0.0973 -0.0972 -0.0972 -0.0968 -0.0958 -0.0948 -0.0942 -0.0926 -0.0908 -0.0890 -0.0877 -0.0870 -0.0870 -0.0876 -0.0886 -0.0917 -0.0939 -0.0966 -0.0996 -0.1031 -0.1069 -0.1110 -0.1157 -0.1242 -0.1291 -0.1384 -0.1416 -0.1479 -0.1542 -0.1603 -0.1664 -0.1724 -0.1841 -0.1954 -0.2063 -0.2220 -0.2468 -0.2701 -0.2921 -0.3127 -0.3321 -0.3502 -0.3672 -0.3830 -0.3977 -0.4112 -0.4234 -0.4343 -0.4437 -0.4514 -0.4573 -0.4610 -0.4623 -0.4606 -0.4554 -0.4462 -0.4323 -0.4127 -0.3863 -0.3521 -0.3085 -0.1858 -0.1022 0.0000
